pathway	collection	comparison	method	source	rank_metric	ES	NES	pvalue	padj	FWER	size	output_label	report_side	source_file	rank_at_max	leading_edge	core_enrichment	direction	significant_fdr_0_25	significant_fdr_0_05
HALLMARK_INTERFERON_ALPHA_RESPONSE	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.38001204	1.7576565	0	0.0020633042	0.011	92	GSEA_Tumor_vs_Normal_Hallmark	pos	gsea_report_for_na_pos_1779214203917.tsv	4411	tags=48%, list=24%, signal=63%		positive	TRUE	TRUE
HALLMARK_HYPOXIA	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.381098	-1.6748449	0	0.003424301	0.032	189	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	3186	tags=32%, list=18%, signal=38%		negative	TRUE	TRUE
HALLMARK_BILE_ACID_METABOLISM	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.40685806	-1.660763	0.0012804097	0.0043414645	0.046	109	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	3082	tags=28%, list=17%, signal=34%		negative	TRUE	TRUE
HALLMARK_SPERMATOGENESIS	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.344161	1.6502222	0	0.0047023697	0.027	112	GSEA_Tumor_vs_Normal_Hallmark	pos	gsea_report_for_na_pos_1779214203917.tsv	802	tags=14%, list=4%, signal=15%		positive	TRUE	TRUE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.33943647	1.5706148	0.007905139	0.009787083	0.063	101	GSEA_Tumor_vs_Normal_Hallmark	pos	gsea_report_for_na_pos_1779214203917.tsv	3161	tags=32%, list=17%, signal=38%		positive	TRUE	TRUE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.44399652	-1.5681682	0.016248154	0.012591908	0.142	42	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	4932	tags=52%, list=27%, signal=72%		negative	TRUE	TRUE
HALLMARK_APICAL_JUNCTION	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.35301787	-1.5580869	0.0011976048	0.01334131	0.165	192	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	3614	tags=33%, list=20%, signal=41%		negative	TRUE	TRUE
HALLMARK_ESTROGEN_RESPONSE_LATE	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.28884512	1.4829373	0.0057803467	0.017477505	0.125	193	GSEA_Tumor_vs_Normal_Hallmark	pos	gsea_report_for_na_pos_1779214203917.tsv	2774	tags=24%, list=15%, signal=28%		positive	TRUE	TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.29433614	1.4946656	0	0.017604303	0.115	182	GSEA_Tumor_vs_Normal_Hallmark	pos	gsea_report_for_na_pos_1779214203917.tsv	4889	tags=43%, list=27%, signal=59%		positive	TRUE	TRUE
HALLMARK_XENOBIOTIC_METABOLISM	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.33884206	-1.4839919	0.0011862396	0.027063288	0.319	188	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	2622	tags=21%, list=14%, signal=25%		negative	TRUE	TRUE
