pathway	collection	comparison	ES	NES	pvalue	padj	FWER	size	direction	method	source	rank_metric	report_side	rank_at_max	leading_edge	core_enrichment	output_label	source_file	significant_fdr_0_25	significant_fdr_0_05	NAME	NAME_KEY	COLLECTION	COMPARISON	SIZE	NOM p-val	FDR	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	Log10FDR	tags	list	signal	PA_ID
GOBP_ATTACHMENT_OF_MITOTIC_SPINDLE_MICROTUBULES_TO_KINETOCHORE	GO_BP	ERpositive_vs_ERnegative	-0.68390954	-2.2297459	0	0.0013083623	0.013	23	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	1852	tags=57%, list=10%, signal=63%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_ATTACHMENT_OF_MITOTIC_SPINDLE_MICROTUBULES_TO_KINETOCHORE	GOBP_ATTACHMENT_OF_MITOTIC_SPINDLE_MICROTUBULES_TO_KINETOCHORE	GO_BP	ERpositive_vs_ERnegative	23	0	0.0013083623	0.0013083623	0.013	1852	tags=57%, list=10%, signal=63%	2.88327197840968	57	10	63	ERpositive_vs_ERnegative::GO_BP::GOBP_ATTACHMENT_OF_MITOTIC_SPINDLE_MICROTUBULES_TO_KINETOCHORE
GOBP_KINETOCHORE_ORGANIZATION	GO_BP	ERpositive_vs_ERnegative	-0.66832167	-2.239944	0	0.0013445803	0.01	26	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	2279	tags=54%, list=13%, signal=62%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_KINETOCHORE_ORGANIZATION	GOBP_KINETOCHORE_ORGANIZATION	GO_BP	ERpositive_vs_ERnegative	26	0	0.0013445803	0.0013445803	0.01	2279	tags=54%, list=13%, signal=62%	2.87141325606208	54	13	62	ERpositive_vs_ERnegative::GO_BP::GOBP_KINETOCHORE_ORGANIZATION
GOBP_RIBOSOME_BIOGENESIS	GO_BP	ERpositive_vs_ERnegative	-0.42377922	-2.1943314	0	0.0013478377	0.019	282	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	4811	tags=44%, list=27%, signal=59%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_RIBOSOME_BIOGENESIS	GOBP_RIBOSOME_BIOGENESIS	GO_BP	ERpositive_vs_ERnegative	282	0	0.0013478377	0.0013478377	0.019	4811	tags=44%, list=27%, signal=59%	2.87036240026215	44	27	59	ERpositive_vs_ERnegative::GO_BP::GOBP_RIBOSOME_BIOGENESIS
GOBP_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION	GO_BP	ERpositive_vs_ERnegative	-0.6917077	-2.2136798	0	0.0013961958	0.015	21	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	1019	tags=48%, list=6%, signal=50%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION	GOBP_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION	GO_BP	ERpositive_vs_ERnegative	21	0	0.0013961958	0.0013961958	0.015	1019	tags=48%, list=6%, signal=50%	2.85505367276106	48	6	50	ERpositive_vs_ERnegative::GO_BP::GOBP_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION
GOBP_CHROMOSOME_SEPARATION	GO_BP	ERpositive_vs_ERnegative	-0.51437426	-2.2496614	0	0.0014085346	0.007	83	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	2545	tags=43%, list=14%, signal=50%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_CHROMOSOME_SEPARATION	GOBP_CHROMOSOME_SEPARATION	GO_BP	ERpositive_vs_ERnegative	83	0	0.0014085346	0.0014085346	0.007	2545	tags=43%, list=14%, signal=50%	2.8512324803044	43	14	50	ERpositive_vs_ERnegative::GO_BP::GOBP_CHROMOSOME_SEPARATION
GOBP_MATURATION_OF_SSU_RRNA	GO_BP	ERpositive_vs_ERnegative	-0.53975004	-2.23012	0	0.0014273043	0.013	64	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	3523	tags=47%, list=19%, signal=58%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_MATURATION_OF_SSU_RRNA	GOBP_MATURATION_OF_SSU_RRNA	GO_BP	ERpositive_vs_ERnegative	64	0	0.0014273043	0.0014273043	0.013	3523	tags=47%, list=19%, signal=58%	2.84548342581872	47	19	58	ERpositive_vs_ERnegative::GO_BP::GOBP_MATURATION_OF_SSU_RRNA
GOBP_CHROMOSOME_CONDENSATION	GO_BP	ERpositive_vs_ERnegative	-0.6305026	-2.1988149	0	0.0014320776	0.019	30	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	4293	tags=60%, list=24%, signal=78%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_CHROMOSOME_CONDENSATION	GOBP_CHROMOSOME_CONDENSATION	GO_BP	ERpositive_vs_ERnegative	30	0	0.0014320776	0.0014320776	0.019	4293	tags=60%, list=24%, signal=78%	2.84403344827209	60	24	78	ERpositive_vs_ERnegative::GO_BP::GOBP_CHROMOSOME_CONDENSATION
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	GO_BP	ERpositive_vs_ERnegative	-0.4068573	-2.1844897	0	0.0014594924	0.023	420	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	4835	tags=43%, list=27%, signal=57%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	GO_BP	ERpositive_vs_ERnegative	420	0	0.0014594924	0.0014594924	0.023	4835	tags=43%, list=27%, signal=57%	2.83579816216734	43	27	57	ERpositive_vs_ERnegative::GO_BP::GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS
GOBP_DNA_TEMPLATED_DNA_REPLICATION	GO_BP	ERpositive_vs_ERnegative	-0.46152687	-2.1884794	0	0.0014730305	0.022	145	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	4681	tags=50%, list=26%, signal=67%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_DNA_TEMPLATED_DNA_REPLICATION	GOBP_DNA_TEMPLATED_DNA_REPLICATION	GO_BP	ERpositive_vs_ERnegative	145	0	0.0014730305	0.0014730305	0.022	4681	tags=50%, list=26%, signal=67%	2.83178826073065	50	26	67	ERpositive_vs_ERnegative::GO_BP::GOBP_DNA_TEMPLATED_DNA_REPLICATION
GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	GO_BP	ERpositive_vs_ERnegative	-0.47131702	-2.1990943	0	0.0015275495	0.019	128	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	2545	tags=38%, list=14%, signal=44%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	GO_BP	ERpositive_vs_ERnegative	128	0	0.0015275495	0.0015275495	0.019	2545	tags=38%, list=14%, signal=44%	2.81600470761337	38	14	44	ERpositive_vs_ERnegative::GO_BP::GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION
