gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	gene_id	pvalue	padj	stat	layer	significant	direction	comparison	reference	contrast	method
TPK1	-0.709816067744567	5.91619867877787	-8.98430516753201	9.72371252367928e-19	3.23472067137567e-18	31.1581220675434	TPK1	TPK1	9.72371252367928e-19	3.23472067137567e-18	-8.98430516753201	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
CC2D2B	-0.734167157638851	2.15725747316268	-8.9831136382844	9.82299006379405e-19	3.26714947297243e-18	31.1480916531731	CC2D2B	CC2D2B	9.82299006379405e-19	3.26714947297243e-18	-8.9831136382844	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
RABGAP1	-0.387542229205607	10.5951881090008	-8.98275709910547	9.85289106743685e-19	3.27649584190299e-18	31.1450904964101	RABGAP1	RABGAP1	9.85289106743685e-19	3.27649584190299e-18	-8.98275709910547	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
ATP2C2	1.47238888115915	7.94994302229562	8.98236935592119	9.88635744515204e-19	3.28702421450068e-18	31.1417454085335	ATP2C2	ATP2C2	9.88635744515204e-19	3.28702421450068e-18	8.98236935592119	RNAseq	TRUE	Tumor_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
ODZ3	-1.45634309520381	7.58485103220479	-8.98187274307292	9.92829596052047e-19	3.30036504988991e-18	31.1375655353854	ODZ3	ODZ3	9.92829596052047e-19	3.30036504988991e-18	-8.98187274307292	RNAseq	TRUE	Normal_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
TIMM50	0.516067152841073	9.57725276630884	8.98064640257915	1.00317562491588e-18	3.33414835161962e-18	31.1273259133603	TIMM50	TIMM50	1.00317562491588e-18	3.33414835161962e-18	8.98064640257915	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
ZG16B	1.8269959754674	9.55279826589595	8.97872614232017	1.0198142446427e-18	3.38882951478859e-18	31.1110860400362	ZG16B	ZG16B	1.0198142446427e-18	3.38882951478859e-18	8.97872614232017	RNAseq	TRUE	Tumor_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
GNAZ	-0.954132435349988	7.45941048720066	-8.97780664080526	1.02783575956499e-18	3.41486141366974e-18	31.1033497195595	GNAZ	GNAZ	1.02783575956499e-18	3.41486141366974e-18	-8.97780664080526	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
DDOST	0.415532072318461	12.2123984310487	8.97628620917327	1.04114783985151e-18	3.4584578728413e-18	31.090640110065	DDOST	DDOST	1.04114783985151e-18	3.4584578728413e-18	8.97628620917327	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
GLT8D2	-1.12530650258279	8.29149322873658	-8.97615716855777	1.0423820212723e-18	3.46192569108683e-18	31.0894734531128	GLT8D2	GLT8D2	1.0423820212723e-18	3.46192569108683e-18	-8.97615716855777	RNAseq	TRUE	Normal_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
C9orf130	-0.816992018103602	6.56454178364988	-8.97494910567307	1.05307470339254e-18	3.49679978138009e-18	31.0793931103743	C9orf130	C9orf130	1.05307470339254e-18	3.49679978138009e-18	-8.97494910567307	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
TTC26	0.608768081210337	7.13285078447564	8.97435645316729	1.05840423770169e-18	3.5138557326105e-18	31.0744085034686	TTC26	TTC26	1.05840423770169e-18	3.5138557326105e-18	8.97435645316729	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
GJD3	-0.919502322122527	5.23926746490504	-8.96971893607007	1.10103924845895e-18	3.65473542257029e-18	31.035413809078	GJD3	GJD3	1.10103924845895e-18	3.65473542257029e-18	-8.96971893607007	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
CTSA	0.528458405699784	11.4388450867052	8.96839644451631	1.11351496504966e-18	3.69547271405978e-18	31.0242889857981	CTSA	CTSA	1.11351496504966e-18	3.69547271405978e-18	8.96839644451631	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
BOLA3	0.559282403364846	7.95251915772089	8.96693169116672	1.12747628042373e-18	3.74075633004633e-18	31.0119856707832	BOLA3	BOLA3	1.12747628042373e-18	3.74075633004633e-18	8.96693169116672	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
KIAA1257	1.38842744406598	4.9948995045417	8.96693183077352	1.12757083662825e-18	3.74075633004633e-18	31.0119059952888	KIAA1257	KIAA1257	1.12757083662825e-18	3.74075633004633e-18	8.96693183077352	RNAseq	TRUE	Tumor_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
SASS6	0.587758854291621	7.47458158546656	8.9666991276018	1.12971031016373e-18	3.74717106706395e-18	31.0100311499468	SASS6	SASS6	1.12971031016373e-18	3.74717106706395e-18	8.9666991276018	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
CLEC11A	1.10087502119018	7.84933484723369	8.96590518333301	1.1374667461568e-18	3.77221114796899e-18	31.0032781705094	CLEC11A	CLEC11A	1.1374667461568e-18	3.77221114796899e-18	8.96590518333301	RNAseq	TRUE	Tumor_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
CCDC147	-1.03268827903852	2.96715755573906	-8.96456975140134	1.15036990674661e-18	3.81430721493684e-18	30.9921374174472	CCDC147	CCDC147	1.15036990674661e-18	3.81430721493684e-18	-8.96456975140134	RNAseq	TRUE	Normal_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
OTUD7A	-1.0373098394345	3.27561403798514	-8.96218546166154	1.1739462993372e-18	3.89177097412334e-18	30.9721059925989	OTUD7A	OTUD7A	1.1739462993372e-18	3.89177097412334e-18	-8.96218546166154	RNAseq	TRUE	Normal_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
DDX43	-1.53712524668553	2.18874277456647	-8.96072705572143	1.18870302111389e-18	3.93997359028826e-18	30.9597749766503	DDX43	DDX43	1.18870302111389e-18	3.93997359028826e-18	-8.96072705572143	RNAseq	TRUE	Normal_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
STK40	-0.493933625997505	10.2089129644922	-8.95984440967226	1.19755985458463e-18	3.968606947094e-18	30.9524423661311	STK40	STK40	1.19755985458463e-18	3.968606947094e-18	-8.95984440967226	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
FAM89B	0.581754833757147	9.95380066061107	8.95899147754728	1.20633865955038e-18	3.99697134604349e-18	30.9452325788763	FAM89B	FAM89B	1.20633865955038e-18	3.99697134604349e-18	8.95899147754728	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
NALCN	-1.50720742535463	5.23899421965318	-8.95468579439827	1.25136971126558e-18	4.14541841008983e-18	30.9090481231183	NALCN	NALCN	1.25136971126558e-18	4.14541841008983e-18	-8.95468579439827	RNAseq	TRUE	Normal_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
TMEM223	0.533050297461986	8.17402576383154	8.95240476553139	1.27576342334e-18	4.22545847220892e-18	30.8899830682307	TMEM223	TMEM223	1.27576342334e-18	4.22545847220892e-18	8.95240476553139	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
SLC3A2	0.52391864095063	11.7429949628406	8.94677989229595	1.33823431896542e-18	4.43156197328432e-18	30.8427820162892	SLC3A2	SLC3A2	1.33823431896542e-18	4.43156197328432e-18	8.94677989229595	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
PHF3	-0.528379024132779	10.9767031379026	-8.94592785393266	1.34795569939858e-18	4.46294228289142e-18	30.8356355940534	PHF3	PHF3	1.34795569939858e-18	4.46294228289142e-18	-8.94592785393266	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
ARHGEF18	0.450728809832261	9.89436606110652	8.94485541991373	1.36027988507089e-18	4.50292722959078e-18	30.8266492328149	ARHGEF18	ARHGEF18	1.36027988507089e-18	4.50292722959078e-18	8.94485541991373	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
C1orf156	0.511131750867608	7.93578810900083	8.94441179826114	1.36541502613102e-18	4.51910410539817e-18	30.8229290073198	C1orf156	C1orf156	1.36541502613102e-18	4.51910410539817e-18	8.94441179826114	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
FHAD1	0.992133669177504	5.0283774566474	8.94387748593777	1.3716254082939e-18	4.53883316926344e-18	30.8184484615341	FHAD1	FHAD1	1.3716254082939e-18	4.53883316926344e-18	8.94387748593777	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
PTPLA	-1.40138728030194	4.82729925681255	-8.943726716194	1.37349854270399e-18	4.54420532216189e-18	30.8171041655692	PTPLA	PTPLA	1.37349854270399e-18	4.54420532216189e-18	-8.943726716194	RNAseq	TRUE	Normal_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
PSMA3	0.482864311759361	10.4064588769612	8.94359429509688	1.37492828855106e-18	4.5481088425353e-18	30.8160738228273	PSMA3	PSMA3	1.37492828855106e-18	4.5481088425353e-18	8.94359429509688	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
MTBP	0.879687189144252	6.95781197357556	8.94178521151969	1.39621896919188e-18	4.61769675436892e-18	30.80090240225	MTBP	MTBP	1.39621896919188e-18	4.61769675436892e-18	8.94178521151969	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
BRMS1L	-0.457438533320532	7.42678918249381	-8.94129866511852	1.40199429927117e-18	4.63595498668883e-18	30.7968267200582	BRMS1L	BRMS1L	1.40199429927117e-18	4.63595498668883e-18	-8.94129866511852	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
AMH	1.64045422843801	3.07393104872007	8.94121677746794	1.40308748069407e-18	4.63872700247632e-18	30.7960602828998	AMH	AMH	1.40308748069407e-18	4.63872700247632e-18	8.94121677746794	RNAseq	TRUE	Tumor_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
PRPS2	0.61721628684294	10.0171800165153	8.94008462785279	1.41663948943891e-18	4.68268047725903e-18	30.7865697832223	PRPS2	PRPS2	1.41663948943891e-18	4.68268047725903e-18	8.94008462785279	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
FAM36A	0.566273894512982	10.0260656482246	8.939770156468	1.4203595430654e-18	4.69412451131112e-18	30.7839787569766	FAM36A	FAM36A	1.4203595430654e-18	4.69412451131112e-18	8.939770156468	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
UCHL5	0.52727054726607	9.12844624277457	8.93684834566597	1.45597388362557e-18	4.81095219353402e-18	30.7595265249327	UCHL5	UCHL5	1.45597388362557e-18	4.81095219353402e-18	8.93684834566597	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
ZFP28	-0.783508914263763	7.30353253509496	-8.93680395015718	1.45652259494231e-18	4.81189167325287e-18	30.7591545075213	ZFP28	ZFP28	1.45652259494231e-18	4.81189167325287e-18	-8.93680395015718	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
SLC25A14	0.427275826416568	7.32072964492155	8.93528853207432	1.47537568429149e-18	4.87329173395737e-18	30.7464568537818	SLC25A14	SLC25A14	1.47537568429149e-18	4.87329173395737e-18	8.93528853207432	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
CYHR1	0.664272660685459	9.74927506193229	8.93460423729303	1.48409227945482e-18	4.90119388243109e-18	30.7406440595303	CYHR1	CYHR1	1.48409227945482e-18	4.90119388243109e-18	8.93460423729303	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
IPW	-1.11430927489643	7.76514029727498	-8.93381113047939	1.49411334323492e-18	4.93339311445492e-18	30.7339998612577	IPW	IPW	1.49411334323492e-18	4.93339311445492e-18	-8.93381113047939	RNAseq	TRUE	Normal_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
SUMO1P3	0.396322623902516	7.39413765483072	8.9328218252425	1.50658092980467e-18	4.97365734127426e-18	30.7257924090715	SUMO1P3	SUMO1P3	1.50658092980467e-18	4.97365734127426e-18	8.9328218252425	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
HPN	1.89967735690641	8.71093938893477	8.93238931445511	1.51224603232671e-18	4.99145407840881e-18	30.7220899884067	HPN	HPN	1.51224603232671e-18	4.99145407840881e-18	8.93238931445511	RNAseq	TRUE	Tumor_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
SCXB	1.03363577619985	1.59036829066887	8.9312975223634	1.52625126439112e-18	5.03676754522546e-18	30.7129868680919	SCXB	SCXB	1.52625126439112e-18	5.03676754522546e-18	8.9312975223634	RNAseq	TRUE	Tumor_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
SLFN11	-0.871042357945907	9.07138835672998	-8.92857494044329	1.56197332753307e-18	5.15371910099744e-18	30.6901470088734	SLFN11	SLFN11	1.56197332753307e-18	5.15371910099744e-18	-8.92857494044329	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
WDR8	0.43919746357691	8.59472287365813	8.92569033650131	1.60051609174847e-18	5.2799334547439e-18	30.6660776232086	WDR8	WDR8	1.60051609174847e-18	5.2799334547439e-18	8.92569033650131	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
MAN1B1	0.503275458587231	10.8601608587944	8.92502204012216	1.6096100663121e-18	5.30897122270392e-18	30.6604838547222	MAN1B1	MAN1B1	1.6096100663121e-18	5.30897122270392e-18	8.92502204012216	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
CNTN4	-1.65783992067681	6.41565235342692	-8.92467215160298	1.61452647565878e-18	5.32422211578001e-18	30.6574759889413	CNTN4	CNTN4	1.61452647565878e-18	5.32422211578001e-18	-8.92467215160298	RNAseq	TRUE	Normal_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
TH1L	0.508700802827516	10.9757360033031	8.92366305347633	1.62826060970671e-18	5.36854041606199e-18	30.6491100090993	TH1L	TH1L	1.62826060970671e-18	5.36854041606199e-18	8.92366305347633	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
TRAPPC5	0.779990891426397	8.89374640792733	8.92318479263821	1.6350113942363e-18	5.38982202048554e-18	30.6450283071686	TRAPPC5	TRAPPC5	1.6350113942363e-18	5.38982202048554e-18	8.92318479263821	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
