sample	correlation	sample_ordered	median_r	n_shared_samples	n_shared_features	n_features_used
TCGA-BH-A1FD-01	0.386058194678884	TCGA-BH-A1FD-01	0.233779438951853	637	149	146
TCGA-BH-A18G-01	0.385345965241303	TCGA-BH-A18G-01	0.233779438951853	637	149	146
TCGA-A2-A1FW-01	0.385069528172976	TCGA-A2-A1FW-01	0.233779438951853	637	149	146
TCGA-E2-A14N-01	0.383711116469737	TCGA-E2-A14N-01	0.233779438951853	637	149	146
TCGA-A2-A04V-01	0.381889054764252	TCGA-A2-A04V-01	0.233779438951853	637	149	146
TCGA-A8-A07W-01	0.381613131790269	TCGA-A8-A07W-01	0.233779438951853	637	149	146
TCGA-A8-A06Y-01	0.381428496918482	TCGA-A8-A06Y-01	0.233779438951853	637	149	146
TCGA-BH-A1FJ-01	0.38130212734338	TCGA-BH-A1FJ-01	0.233779438951853	637	149	146
TCGA-A7-A26F-01	0.379495217426252	TCGA-A7-A26F-01	0.233779438951853	637	149	146
TCGA-D8-A27H-01	0.378890743198832	TCGA-D8-A27H-01	0.233779438951853	637	149	146
TCGA-BH-A1ET-01	0.375711735101603	TCGA-BH-A1ET-01	0.233779438951853	637	149	146
TCGA-D8-A1JD-01	0.375476247890041	TCGA-D8-A1JD-01	0.233779438951853	637	149	146
TCGA-AR-A0U0-01	0.375081434187142	TCGA-AR-A0U0-01	0.233779438951853	637	149	146
TCGA-D8-A1Y3-01	0.375006028454304	TCGA-D8-A1Y3-01	0.233779438951853	637	149	146
TCGA-BH-A0BZ-01	0.373262452037706	TCGA-BH-A0BZ-01	0.233779438951853	637	149	146
TCGA-GM-A2D9-01	0.372365939601044	TCGA-GM-A2D9-01	0.233779438951853	637	149	146
TCGA-E9-A1NA-01	0.371585885378989	TCGA-E9-A1NA-01	0.233779438951853	637	149	146
TCGA-C8-A12Z-01	0.369582289369101	TCGA-C8-A12Z-01	0.233779438951853	637	149	146
TCGA-E9-A1N6-01	0.368861024033438	TCGA-E9-A1N6-01	0.233779438951853	637	149	146
TCGA-C8-A1HK-01	0.368182188110253	TCGA-C8-A1HK-01	0.233779438951853	637	149	146
TCGA-A8-A094-01	0.367623570720902	TCGA-A8-A094-01	0.233779438951853	637	149	146
TCGA-D8-A1XL-01	0.367414564157573	TCGA-D8-A1XL-01	0.233779438951853	637	149	146
TCGA-AN-A0FV-01	0.36699732325618	TCGA-AN-A0FV-01	0.233779438951853	637	149	146
TCGA-BH-A1F5-01	0.366088302878071	TCGA-BH-A1F5-01	0.233779438951853	637	149	146
TCGA-AN-A0FT-01	0.365371595024406	TCGA-AN-A0FT-01	0.233779438951853	637	149	146
TCGA-BH-A18P-01	0.364985829003307	TCGA-BH-A18P-01	0.233779438951853	637	149	146
TCGA-A8-A09C-01	0.363352227995591	TCGA-A8-A09C-01	0.233779438951853	637	149	146
TCGA-D8-A146-01	0.362588568729334	TCGA-D8-A146-01	0.233779438951853	637	149	146
TCGA-C8-A1HF-01	0.362446748653645	TCGA-C8-A1HF-01	0.233779438951853	637	149	146
TCGA-AN-A0AJ-01	0.361939064714218	TCGA-AN-A0AJ-01	0.233779438951853	637	149	146
TCGA-A7-A0DC-01	0.361707173779082	TCGA-A7-A0DC-01	0.233779438951853	637	149	146
TCGA-AR-A0TT-01	0.36149102797076	TCGA-AR-A0TT-01	0.233779438951853	637	149	146
TCGA-AR-A24Z-01	0.361265171609999	TCGA-AR-A24Z-01	0.233779438951853	637	149	146
TCGA-A2-A0CQ-01	0.359722878286884	TCGA-A2-A0CQ-01	0.233779438951853	637	149	146
TCGA-D8-A1JA-01	0.358973792197225	TCGA-D8-A1JA-01	0.233779438951853	637	149	146
TCGA-E2-A15G-01	0.358947409856715	TCGA-E2-A15G-01	0.233779438951853	637	149	146
TCGA-EW-A2FW-01	0.35640187442959	TCGA-EW-A2FW-01	0.233779438951853	637	149	146
TCGA-AR-A24U-01	0.356112852664577	TCGA-AR-A24U-01	0.233779438951853	637	149	146
TCGA-AN-A0AT-01	0.355739953826767	TCGA-AN-A0AT-01	0.233779438951853	637	149	146
TCGA-A8-A085-01	0.355428279011179	TCGA-A8-A085-01	0.233779438951853	637	149	146
TCGA-B6-A0IQ-01	0.355113367973547	TCGA-B6-A0IQ-01	0.233779438951853	637	149	146
TCGA-E9-A1N8-01	0.354730683557252	TCGA-E9-A1N8-01	0.233779438951853	637	149	146
TCGA-EW-A1J5-01	0.354545454545455	TCGA-EW-A1J5-01	0.233779438951853	637	149	146
TCGA-E2-A158-01	0.353848167462153	TCGA-E2-A158-01	0.233779438951853	637	149	146
TCGA-A8-A082-01	0.351625728231775	TCGA-A8-A082-01	0.233779438951853	637	149	146
TCGA-E2-A150-01	0.350468430168477	TCGA-E2-A150-01	0.233779438951853	637	149	146
TCGA-E2-A15D-01	0.350305759538073	TCGA-E2-A15D-01	0.233779438951853	637	149	146
TCGA-D8-A140-01	0.349779562273658	TCGA-D8-A140-01	0.233779438951853	637	149	146
TCGA-AO-A12H-01	0.349297698490268	TCGA-AO-A12H-01	0.233779438951853	637	149	146
TCGA-A2-A0YE-01	0.348870256652496	TCGA-A2-A0YE-01	0.233779438951853	637	149	146
TCGA-BH-A0EE-01	0.347972760195245	TCGA-BH-A0EE-01	0.233779438951853	637	149	146
TCGA-D8-A13Z-01	0.347729046340357	TCGA-D8-A13Z-01	0.233779438951853	637	149	146
TCGA-D8-A1JC-01	0.347542749319713	TCGA-D8-A1JC-01	0.233779438951853	637	149	146
TCGA-E2-A10B-01	0.344605858538414	TCGA-E2-A10B-01	0.233779438951853	637	149	146
TCGA-A2-A0D4-01	0.343977664912843	TCGA-A2-A0D4-01	0.233779438951853	637	149	146
TCGA-AN-A0FL-01	0.343682097307511	TCGA-AN-A0FL-01	0.233779438951853	637	149	146
TCGA-A2-A0CU-01	0.343399353250849	TCGA-A2-A0CU-01	0.233779438951853	637	149	146
TCGA-E2-A154-01	0.342600264920095	TCGA-E2-A154-01	0.233779438951853	637	149	146
TCGA-C8-A273-01	0.342041118160642	TCGA-C8-A273-01	0.233779438951853	637	149	146
TCGA-A1-A0SO-01	0.340729806329712	TCGA-A1-A0SO-01	0.233779438951853	637	149	146
TCGA-AR-A256-01	0.340185676392573	TCGA-AR-A256-01	0.233779438951853	637	149	146
TCGA-BH-A0HL-01	0.339427195940957	TCGA-BH-A0HL-01	0.233779438951853	637	149	146
TCGA-A2-A0SW-01	0.338135726657219	TCGA-A2-A0SW-01	0.233779438951853	637	149	146
TCGA-BH-A1FM-01	0.337746161884093	TCGA-BH-A1FM-01	0.233779438951853	637	149	146
TCGA-AO-A03O-01	0.337445554727379	TCGA-AO-A03O-01	0.233779438951853	637	149	146
TCGA-C8-A12M-01	0.336124232404346	TCGA-C8-A12M-01	0.233779438951853	637	149	146
TCGA-A2-A0YJ-01	0.335125379248959	TCGA-A2-A0YJ-01	0.233779438951853	637	149	146
TCGA-BH-A1EN-01	0.334358842454743	TCGA-BH-A1EN-01	0.233779438951853	637	149	146
TCGA-C8-A12V-01	0.334211147850732	TCGA-C8-A12V-01	0.233779438951853	637	149	146
TCGA-BH-A201-01	0.334177316935938	TCGA-BH-A201-01	0.233779438951853	637	149	146
TCGA-BH-A0HU-01	0.333949706689764	TCGA-BH-A0HU-01	0.233779438951853	637	149	146
TCGA-AR-A1AV-01	0.332705806867	TCGA-AR-A1AV-01	0.233779438951853	637	149	146
TCGA-C8-A1HL-01	0.332565710151917	TCGA-C8-A1HL-01	0.233779438951853	637	149	146
TCGA-C8-A1HI-01	0.332372799614179	TCGA-C8-A1HI-01	0.233779438951853	637	149	146
TCGA-A1-A0SQ-01	0.332174194371796	TCGA-A1-A0SQ-01	0.233779438951853	637	149	146
TCGA-A2-A04T-01	0.332007097314656	TCGA-A2-A04T-01	0.233779438951853	637	149	146
TCGA-A8-A09R-01	0.331987742064377	TCGA-A8-A09R-01	0.233779438951853	637	149	146
TCGA-AR-A254-01	0.331339924443373	TCGA-AR-A254-01	0.233779438951853	637	149	146
TCGA-E2-A14Y-01	0.329639682018592	TCGA-E2-A14Y-01	0.233779438951853	637	149	146
TCGA-A2-A0D1-01	0.329330026767438	TCGA-A2-A0D1-01	0.233779438951853	637	149	146
TCGA-C8-A1HM-01	0.329274504937978	TCGA-C8-A1HM-01	0.233779438951853	637	149	146
TCGA-A7-A0CJ-01	0.327789253453604	TCGA-A7-A0CJ-01	0.233779438951853	637	149	146
TCGA-A2-A0SV-01	0.327098094788222	TCGA-A2-A0SV-01	0.233779438951853	637	149	146
