gene	logFC_x	padj_x	logFC_y	padj_y	category
ABL1	0.100831643722291	0.00868469189845146	0.0347255868020077	0.16680983146524	not_significant
ACACA	0.32673379284061	4.58989561227435e-06	0.348909147579331	1.70658984672583e-05	only_y
ACVRL1	0.031303352884855	0.65261906830382	0.0491919019261946	0.112527131149828	not_significant
ADAR	0.0104245326690044	0.85023826124103	-0.13786957296985	0.00279368682787093	not_significant
ANXA1	-1.0538458463083	6.10722213570719e-27	-0.261036712250523	2.57864914830385e-05	concordant
ANXA7	0.150243360693077	3.98790167964189e-05	0.175631512534674	1.69222012955535e-11	not_significant
AR	3.41387321410312	1.09007081658221e-65	1.00926708276736	7.69505783728782e-34	concordant
ARAF	0.161951286031661	5.09725029462816e-06	0.109966318629969	0.000497268840824251	not_significant
ASNS	-1.1321185696093	2.99196621692759e-42	-0.694579515488047	4.57521328166509e-35	concordant
ATM	-0.00570212309094842	0.934551799264041	-0.107098799206974	0.0633487544921798	not_significant
BAK1	-0.602023525037415	1.03515444339678e-31	-0.114843826251343	0.0546864960414555	not_significant
BAP1	0.11360754515286	0.00124858967606905	0.764607588083333	0.130983533003123	not_significant
BAX	-0.276651235836001	9.71031252413196e-09	0.0510154297000134	0.12778204154468	not_significant
BCL2	2.09047097574806	6.04864749351176e-64	1.03370655291695	1.70864187726744e-33	concordant
BCL2A1	-1.5085338095725	8.60067070081277e-31	0.0697608907303909	0.0905438718383762	only_x
BCL2L1	0.416502618540802	7.63186740727068e-23	0.0735556170653409	0.002961995170202	not_significant
BCL2L11	0.358958817241266	3.11416660383963e-11	0.394862257922875	1.87577657808046e-14	only_y
BECN1	0.604139516076557	5.83307343116804e-39	-0.063788304874639	0.0296216754451788	not_significant
BID	-0.675466158822811	1.71606515936168e-31	0.000350737251164468	0.989441926188233	not_significant
BRAF	-0.0813037089022997	0.185084573398775	0.298380643224625	0.00202747635769213	only_y
BRCA2	-0.53577317413249	9.20784593356046e-09	-0.0720481278427185	0.00475258285172053	not_significant
BRD4	-0.245155226391772	5.32193810377374e-11	-0.187261292503728	0.000612007157575747	not_significant
CASP3	-0.210939449149011	1.81789041965093e-07	-0.279066333864543	5.9499261944987e-09	only_y
CASP8	0.00602133594845	0.918416387457231	0.0460010842726141	0.0876026301544284	not_significant
CASP9	0.210190415415642	2.64358992677512e-07	0.29732981475	0.455851531359623	not_significant
CAV1	0.204385624517798	0.0301866922684308	0.890385112368558	1.8503130824639e-14	only_y
CCNB1	-0.636860373307059	6.39624562292483e-16	-0.804793942510139	1.12598269084873e-19	only_y
CCND1	1.73160555870569	2.93069894090658e-44	0.322561710994392	2.25226241579393e-13	concordant
CCNE1	-2.30139415034534	4.03001717454614e-79	-0.618464571714268	1.54637224479184e-40	concordant
CCNE2	-0.514153181382981	7.52956586764667e-07	-0.0252835218163631	0.374115775633373	not_significant
CDH1	0.100517599159721	0.442242579262149	-0.0276634840585995	0.826703711073866	not_significant
CDH2	-0.42306411009584	0.00655986320118958	-0.0291086321317228	0.364317116116285	not_significant
CDH3	-2.41441720503074	5.78313688148952e-48	-0.376136336295797	4.42771409778162e-25	concordant
CDK1	-0.815245196553219	1.25934341602241e-18	-0.194324930684078	6.62161311212723e-11	not_significant
CDKN1A	0.325913628124448	0.000147332733908377	0.0486579762406051	0.117468910710512	not_significant
CDKN1B	0.425412039524442	2.51135915042774e-08	0.229590608166912	1.17935686362194e-08	only_y
CDKN2A	-1.82348979726526	1.2477952561332e-40	-0.628500991391513	1.20964867199151e-14	concordant
CHEK1	-1.08644262820812	9.88091708645353e-46	-0.12204911260116	1.64511894844731e-05	only_x
CHEK2	-0.846804980525936	7.3150424012309e-37	-0.292656010116972	2.86336018090375e-11	only_y
CLDN7	0.113808446815833	0.127826977925021	0.247493321695958	0.00464362570600035	only_y
COG3	0.262447614311338	8.53158342652213e-09	0.136210034589727	0.00378165248912724	not_significant
COPS5	-0.0770113656011091	0.142312882800894	0.0457554810320506	0.0594628565385995	not_significant
CTNNA1	0.353807909536242	1.85651343425352e-18	0.103369599416667	0.794056120041714	not_significant
CTNNB1	-0.096962715771685	0.0659087031100399	-0.0985296949327332	0.187148326307548	not_significant
DIABLO	0.0512219113395833	0.198058498275412	0.193454888808439	6.38586144081179e-06	not_significant
DIRAS3	0.244208068489207	0.136682533319215	0.131313050861799	7.48957224409576e-05	not_significant
DPP4	-0.239329315200929	0.0921251057879224	0.0857049918074556	0.0013211060497584	not_significant
DUSP4	1.18790108757286	8.49158362558177e-15	0.0188674728004952	0.836715096498163	only_x
DVL3	-0.263937864267186	7.09701691607842e-15	-0.0841774037069535	0.00759972417978279	not_significant
EEF2	0.26579099452494	1.84217281482872e-06	-0.153397862657887	3.81681876546859e-10	not_significant
EEF2K	0.347410612666041	2.54457093563084e-11	0.279759495892906	7.84715034166504e-10	only_y
EGFR	-2.28167949413918	1.49066656061082e-45	-0.368510548392968	4.33971548446535e-20	concordant
EIF4E	0.0864714275090908	0.0556550182661572	0.0113394509505421	0.68123639386479	not_significant
EIF4EBP1	-0.959924878461406	3.2384669776907e-22	-0.195977382396359	0.000408548729510955	not_significant
EIF4G1	-0.302176181224935	4.06342621935117e-14	-0.31779436383782	2.46459211386879e-06	only_y
ENY2	-0.559727734966861	1.50904014899119e-21	-0.19257911195263	8.67681559173846e-05	not_significant
EPPK1	0.0892822428169016	0.502970135546798	0.79975385475	0.257968439443335	not_significant
ERBB2	0.259703987767134	0.0524126436890294	0.0700713170926381	0.494451681300435	not_significant
ERBB3	1.12174562600505	4.42333143715883e-58	0.432479671981505	3.79999073351903e-11	concordant
ERCC1	0.0331156387399147	0.467631177783756	-0.0235420063183313	0.277783027468974	not_significant
ERCC5	0.00691528737020164	0.887415368316603	0.0497583866030518	0.0980422613756738	not_significant
ERRFI1	-0.610679830636082	6.68058839313127e-13	-0.0798089388206799	0.000275578985672795	not_significant
ESR1	6.19545890833713	1.30221982078421e-182	4.08979106715836	2.13378333765079e-112	concordant
ETS1	-0.522870027607606	4.80182739913507e-11	-0.0404182965676483	0.215589850561981	not_significant
FASN	0.839471587391603	8.96538382490104e-13	0.752042158936843	5.77743745891626e-11	only_y
FN1	0.309627023861527	0.00950099218052222	0.0946443789025432	0.33387871455704	not_significant
FOXM1	-1.49106901068054	8.93599389507416e-42	-0.649977314531288	1.53929804344739e-31	concordant
FOXO3	-0.104118517554552	0.0939631128021289	-0.0481098168894793	0.0710561281873434	not_significant
G6PD	-0.407354578495802	1.32192634221602e-08	-0.115380474446366	0.0150578477643745	not_significant
GAB2	0.0309091737234883	0.77881348528187	-0.122145576925064	0.0743522119747752	not_significant
GAPDH	-0.77563829185995	4.06040146518706e-30	-0.410103732245704	3.40053217549714e-06	only_y
GATA3	3.49471452049191	4.92003769986044e-124	1.832407267621	3.19559270302685e-77	concordant
GATA6	-1.11305739410108	2.36299931107963e-24	-0.226616693198929	4.13094686524705e-07	concordant
IGFBP2	1.46186865931083	1.04005205088332e-26	0.858317399774006	2.86625930340187e-20	concordant
INPP4B	2.40342635272683	6.27058253891515e-77	1.02645739737976	2.21017172420104e-36	concordant
IRF1	-0.253569742235939	0.00245565898702287	-0.00321004233389096	0.902572063361464	not_significant
IRS1	1.63960425733647	1.2986946514642e-49	0.206658605710815	1.6125356150213e-10	concordant
ITGA2	0.631857515872058	4.64601774216343e-08	0.0374584135289453	0.33387871455704	not_significant
JAK2	-0.00495853558780901	0.949524325298801	-0.126372032124153	0.000466314315554609	not_significant
