pathway	collection	comparison	ES	NES	pvalue	padj	FWER	size	direction	method	source	rank_metric	report_side	rank_at_max	leading_edge	core_enrichment	output_label	source_file	significant_fdr_0_25	significant_fdr_0_05	NAME	NAME_KEY	COLLECTION	COMPARISON	SIZE	NOM p-val	FDR	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	Log10FDR	tags	list	signal	PA_ID
HALLMARK_GLYCOLYSIS	Hallmark	Tumor_vs_Normal	0.38494042	1.9892619	0	0	0	195	positive	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	pos	2806	tags=37%, list=15%, signal=43%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_pos_1779214203917.tsv	TRUE	TRUE	HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Hallmark	Tumor_vs_Normal	195	0	0	0	0	2806	tags=37%, list=15%, signal=43%	307.652655568589	37	15	43	Tumor_vs_Normal::Hallmark::HALLMARK_GLYCOLYSIS
HALLMARK_MITOTIC_SPINDLE	Hallmark	Tumor_vs_Normal	0.35703197	1.850932	0	0.00036111113	0.002	195	positive	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	pos	359	tags=15%, list=2%, signal=15%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_pos_1779214203917.tsv	TRUE	TRUE	HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Hallmark	Tumor_vs_Normal	195	0	0.00036111113	0.00036111113	0.002	359	tags=15%, list=2%, signal=15%	3.44235912574351	15	2	15	Tumor_vs_Normal::Hallmark::HALLMARK_MITOTIC_SPINDLE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	Hallmark	Tumor_vs_Normal	-0.4126748	-1.8084499	0	0.00055608404	0.003	196	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	3395	tags=35%, list=19%, signal=42%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_neg_1779214203917.tsv	TRUE	TRUE	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Hallmark	Tumor_vs_Normal	196	0	0.00055608404	0.00055608404	0.003	3395	tags=35%, list=19%, signal=42%	3.25485956929893	35	19	42	Tumor_vs_Normal::Hallmark::HALLMARK_TNFA_SIGNALING_VIA_NFKB
HALLMARK_FATTY_ACID_METABOLISM	Hallmark	Tumor_vs_Normal	-0.40999314	-1.7758343	0	0.00074229686	0.005	149	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	2649	tags=30%, list=15%, signal=34%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_neg_1779214203917.tsv	TRUE	TRUE	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Hallmark	Tumor_vs_Normal	149	0	0.00074229686	0.00074229686	0.005	2649	tags=30%, list=15%, signal=34%	3.1294223765584	30	15	34	Tumor_vs_Normal::Hallmark::HALLMARK_FATTY_ACID_METABOLISM
HALLMARK_KRAS_SIGNALING_UP	Hallmark	Tumor_vs_Normal	-0.39561757	-1.7410964	0	0.0014858375	0.012	191	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	4389	tags=38%, list=24%, signal=50%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_neg_1779214203917.tsv	TRUE	TRUE	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Hallmark	Tumor_vs_Normal	191	0	0.0014858375	0.0014858375	0.012	4389	tags=38%, list=24%, signal=50%	2.82802868499826	38	24	50	Tumor_vs_Normal::Hallmark::HALLMARK_KRAS_SIGNALING_UP
HALLMARK_INTERFERON_ALPHA_RESPONSE	Hallmark	Tumor_vs_Normal	0.38001204	1.7576565	0	0.0020633042	0.011	92	positive	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	pos	4411	tags=48%, list=24%, signal=63%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_pos_1779214203917.tsv	TRUE	TRUE	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Hallmark	Tumor_vs_Normal	92	0	0.0020633042	0.0020633042	0.011	4411	tags=48%, list=24%, signal=63%	2.68543673778447	48	24	63	Tumor_vs_Normal::Hallmark::HALLMARK_INTERFERON_ALPHA_RESPONSE
HALLMARK_HYPOXIA	Hallmark	Tumor_vs_Normal	-0.381098	-1.6748449	0	0.003424301	0.032	189	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	3186	tags=32%, list=18%, signal=38%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_neg_1779214203917.tsv	TRUE	TRUE	HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Hallmark	Tumor_vs_Normal	189	0	0.003424301	0.003424301	0.032	3186	tags=32%, list=18%, signal=38%	2.46542806733205	32	18	38	Tumor_vs_Normal::Hallmark::HALLMARK_HYPOXIA
HALLMARK_BILE_ACID_METABOLISM	Hallmark	Tumor_vs_Normal	-0.40685806	-1.660763	0.0012804097	0.0043414645	0.046	109	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	3082	tags=28%, list=17%, signal=34%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_neg_1779214203917.tsv	TRUE	TRUE	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Hallmark	Tumor_vs_Normal	109	0.0012804097	0.0043414645	0.0043414645	0.046	3082	tags=28%, list=17%, signal=34%	2.36236374583723	28	17	34	Tumor_vs_Normal::Hallmark::HALLMARK_BILE_ACID_METABOLISM
HALLMARK_SPERMATOGENESIS	Hallmark	Tumor_vs_Normal	0.344161	1.6502222	0	0.0047023697	0.027	112	positive	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	pos	802	tags=14%, list=4%, signal=15%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_pos_1779214203917.tsv	TRUE	TRUE	HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Hallmark	Tumor_vs_Normal	112	0	0.0047023697	0.0047023697	0.027	802	tags=14%, list=4%, signal=15%	2.32768322966488	14	4	15	Tumor_vs_Normal::Hallmark::HALLMARK_SPERMATOGENESIS
HALLMARK_PI3K_AKT_MTOR_SIGNALING	Hallmark	Tumor_vs_Normal	0.33943647	1.5706148	0.007905139	0.009787083	0.063	101	positive	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	pos	3161	tags=32%, list=17%, signal=38%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_pos_1779214203917.tsv	TRUE	TRUE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Hallmark	Tumor_vs_Normal	101	0.007905139	0.009787083	0.009787083	0.063	3161	tags=32%, list=17%, signal=38%	2.00934672860266	32	17	38	Tumor_vs_Normal::Hallmark::HALLMARK_PI3K_AKT_MTOR_SIGNALING
HALLMARK_WNT_BETA_CATENIN_SIGNALING	Hallmark	Tumor_vs_Normal	-0.44399652	-1.5681682	0.016248154	0.012591908	0.142	42	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	4932	tags=52%, list=27%, signal=72%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_neg_1779214203917.tsv	TRUE	TRUE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Hallmark	Tumor_vs_Normal	42	0.016248154	0.012591908	0.012591908	0.142	4932	tags=52%, list=27%, signal=72%	1.89990845805031	52	27	72	Tumor_vs_Normal::Hallmark::HALLMARK_WNT_BETA_CATENIN_SIGNALING
HALLMARK_APICAL_JUNCTION	Hallmark	Tumor_vs_Normal	-0.35301787	-1.5580869	0.0011976048	0.01334131	0.165	192	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	3614	tags=33%, list=20%, signal=41%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_neg_1779214203917.tsv	TRUE	TRUE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Hallmark	Tumor_vs_Normal	192	0.0011976048	0.01334131	0.01334131	0.165	3614	tags=33%, list=20%, signal=41%	1.87480152440458	33	20	41	Tumor_vs_Normal::Hallmark::HALLMARK_APICAL_JUNCTION
HALLMARK_ESTROGEN_RESPONSE_LATE	Hallmark	Tumor_vs_Normal	0.28884512	1.4829373	0.0057803467	0.017477505	0.125	193	positive	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	pos	2774	tags=24%, list=15%, signal=28%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_pos_1779214203917.tsv	TRUE	TRUE	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Hallmark	Tumor_vs_Normal	193	0.0057803467	0.017477505	0.017477505	0.125	2774	tags=24%, list=15%, signal=28%	1.75752056495509	24	15	28	Tumor_vs_Normal::Hallmark::HALLMARK_ESTROGEN_RESPONSE_LATE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	Hallmark	Tumor_vs_Normal	0.29433614	1.4946656	0	0.017604303	0.115	182	positive	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	pos	4889	tags=43%, list=27%, signal=59%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_pos_1779214203917.tsv	TRUE	TRUE	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Hallmark	Tumor_vs_Normal	182	0	0.017604303	0.017604303	0.115	4889	tags=43%, list=27%, signal=59%	1.75438116509798	43	27	59	Tumor_vs_Normal::Hallmark::HALLMARK_OXIDATIVE_PHOSPHORYLATION
HALLMARK_XENOBIOTIC_METABOLISM	Hallmark	Tumor_vs_Normal	-0.33884206	-1.4839919	0.0011862396	0.027063288	0.319	188	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	2622	tags=21%, list=14%, signal=25%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_neg_1779214203917.tsv	TRUE	TRUE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Hallmark	Tumor_vs_Normal	188	0.0011862396	0.027063288	0.027063288	0.319	2622	tags=21%, list=14%, signal=25%	1.56761944079422	21	14	25	Tumor_vs_Normal::Hallmark::HALLMARK_XENOBIOTIC_METABOLISM
HALLMARK_UV_RESPONSE_UP	Hallmark	Tumor_vs_Normal	0.26929596	1.3532207	0.010989011	0.040342197	0.287	151	positive	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	pos	3098	tags=30%, list=17%, signal=36%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_pos_1779214203917.tsv	TRUE	TRUE	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Hallmark	Tumor_vs_Normal	151	0.010989011	0.040342197	0.040342197	0.287	3098	tags=30%, list=17%, signal=36%	1.3942404541898	30	17	36	Tumor_vs_Normal::Hallmark::HALLMARK_UV_RESPONSE_UP
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Hallmark	Tumor_vs_Normal	-0.3095916	-1.3682351	0.015402843	0.0628818	0.745	194	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	3581	tags=32%, list=20%, signal=39%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_neg_1779214203917.tsv	TRUE	FALSE	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Hallmark	Tumor_vs_Normal	194	0.015402843	0.0628818	0.0628818	0.745	3581	tags=32%, list=20%, signal=39%	1.20147503505264	32	20	39	Tumor_vs_Normal::Hallmark::HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
HALLMARK_TGF_BETA_SIGNALING	Hallmark	Tumor_vs_Normal	-0.37560242	-1.3691177	0.053857353	0.066432185	0.739	54	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	5145	tags=44%, list=28%, signal=62%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_neg_1779214203917.tsv	TRUE	FALSE	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Hallmark	Tumor_vs_Normal	54	0.053857353	0.066432185	0.066432185	0.739	5145	tags=44%, list=28%, signal=62%	1.177621463081	44	28	62	Tumor_vs_Normal::Hallmark::HALLMARK_TGF_BETA_SIGNALING
HALLMARK_HEME_METABOLISM	Hallmark	Tumor_vs_Normal	-0.31366867	-1.3700627	0.014545455	0.07061806	0.733	181	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	4999	tags=36%, list=27%, signal=49%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_neg_1779214203917.tsv	TRUE	FALSE	HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Hallmark	Tumor_vs_Normal	181	0.014545455	0.07061806	0.07061806	0.733	4999	tags=36%, list=27%, signal=49%	1.15108421742809	36	27	49	Tumor_vs_Normal::Hallmark::HALLMARK_HEME_METABOLISM
HALLMARK_HEDGEHOG_SIGNALING	Hallmark	Tumor_vs_Normal	-0.41212478	-1.3704481	0.07373272	0.07582242	0.733	34	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	3707	tags=44%, list=20%, signal=55%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_neg_1779214203917.tsv	TRUE	FALSE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Hallmark	Tumor_vs_Normal	34	0.07373272	0.07582242	0.07582242	0.733	3707	tags=44%, list=20%, signal=55%	1.12020235844989	44	20	55	Tumor_vs_Normal::Hallmark::HALLMARK_HEDGEHOG_SIGNALING
HALLMARK_COAGULATION	Hallmark	Tumor_vs_Normal	-0.33245286	-1.374276	0.030150754	0.07876342	0.714	124	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	3837	tags=35%, list=21%, signal=44%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_neg_1779214203917.tsv	TRUE	FALSE	HALLMARK_COAGULATION	HALLMARK_COAGULATION	Hallmark	Tumor_vs_Normal	124	0.030150754	0.07876342	0.07876342	0.714	3837	tags=35%, list=21%, signal=44%	1.10367543454914	35	21	44	Tumor_vs_Normal::Hallmark::HALLMARK_COAGULATION
HALLMARK_KRAS_SIGNALING_DN	Hallmark	Tumor_vs_Normal	-0.3004353	-1.3089156	0.045949213	0.101215474	0.902	174	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	4221	tags=28%, list=23%, signal=36%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_neg_1779214203917.tsv	TRUE	FALSE	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Hallmark	Tumor_vs_Normal	174	0.045949213	0.101215474	0.101215474	0.902	4221	tags=28%, list=23%, signal=36%	0.994753086714765	28	23	36	Tumor_vs_Normal::Hallmark::HALLMARK_KRAS_SIGNALING_DN
HALLMARK_IL2_STAT5_SIGNALING	Hallmark	Tumor_vs_Normal	-0.29642954	-1.299859	0.034897715	0.103579715	0.916	193	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	3414	tags=26%, list=19%, signal=32%		GSEA_Tumor_vs_Normal_Hallmark	gsea_report_for_na_neg_1779214203917.tsv	TRUE	FALSE	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Hallmark	Tumor_vs_Normal	193	0.034897715	0.103579715	0.103579715	0.916	3414	tags=26%, list=19%, signal=32%	0.984725288279484	26	19	32	Tumor_vs_Normal::Hallmark::HALLMARK_IL2_STAT5_SIGNALING
