gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	gene_id	pvalue	padj	stat	layer	significant	direction	comparison	reference	contrast	method
PQLC1	-0.399061838276989	9.301325	-7.74867369684369	2.88232387772776e-14	1.0306439759236e-13	21.2569675896191	PQLC1	PQLC1	2.88232387772776e-14	1.0306439759236e-13	-7.74867369684369	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
C20orf20	-0.411712463398986	8.61653730769231	-7.74760100785659	2.90502016561022e-14	1.03855473441821e-13	21.2492575767307	C20orf20	C20orf20	2.90502016561022e-14	1.03855473441821e-13	-7.74760100785659	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
UBTD2	0.312221218825226	10.0424352564103	7.74713148074958	2.91500989380648e-14	1.04192063022117e-13	21.2458831119267	UBTD2	UBTD2	2.91500989380648e-14	1.04192063022117e-13	7.74713148074958	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
QRICH2	-0.707795286254751	5.8765732051282	-7.74642911011322	2.9300168612198e-14	1.04707817222657e-13	21.2408355410851	QRICH2	QRICH2	2.9300168612198e-14	1.04707817222657e-13	-7.74642911011322	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
TSEN15	-0.370348413723875	9.61779487179487	-7.74608104836559	2.9374817915639e-14	1.04953897121131e-13	21.2383343485036	TSEN15	TSEN15	2.9374817915639e-14	1.04953897121131e-13	-7.74608104836559	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
MS4A15	1.81771880385577	3.90726	7.74605237956723	2.938640276497e-14	1.04974600143082e-13	21.2379557625968	MS4A15	MS4A15	2.938640276497e-14	1.04974600143082e-13	7.74605237956723	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
SMCR8	0.444060422573193	10.0441587179487	7.7457087992022	2.94561181355446e-14	1.0520290892027e-13	21.2356196142556	SMCR8	SMCR8	2.94561181355446e-14	1.0520290892027e-13	7.7457087992022	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
PDIA2	-1.01373722659627	1.35952705128205	-7.74564461485429	2.94741283030613e-14	1.05246498327004e-13	21.2350257079942	PDIA2	PDIA2	2.94741283030613e-14	1.05246498327004e-13	-7.74564461485429	RNAseq	TRUE	ER_negative_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
GNG3	0.857858689893011	2.58087435897436	7.74541677935249	2.95178051526394e-14	1.05381703350177e-13	21.2335611389394	GNG3	GNG3	2.95178051526394e-14	1.05381703350177e-13	7.74541677935249	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
ASPA	0.853812384387282	2.71157115384615	7.74445915615035	2.97251461638977e-14	1.0610103855194e-13	21.2266806042543	ASPA	ASPA	2.97251461638977e-14	1.0610103855194e-13	7.74445915615035	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
