pathway	collection	comparison	ES	NES	pvalue	padj	FWER	size	direction	method	source	rank_metric	report_side	rank_at_max	leading_edge	core_enrichment	output_label	source_file	significant_fdr_0_25	significant_fdr_0_05	NAME	NAME_KEY	COLLECTION	COMPARISON	SIZE	NOM p-val	FDR	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	Log10FDR	tags	list	signal	PA_ID
HALLMARK_IL6_JAK_STAT3_SIGNALING	Hallmark	ERpositive_vs_ERnegative	-0.4434119	-1.9211506	0	0.000549341	0.004	83	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	5124	tags=53%, list=28%, signal=74%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Hallmark	ERpositive_vs_ERnegative	83	0	0.000549341	0.000549341	0.004	5124	tags=53%, list=28%, signal=74%	3.26015798625215	53	28	74	ERpositive_vs_ERnegative::Hallmark::HALLMARK_IL6_JAK_STAT3_SIGNALING
HALLMARK_TNFA_SIGNALING_VIA_NFKB	Hallmark	ERpositive_vs_ERnegative	-0.37636012	-1.86931	0	0.00091531937	0.007	196	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	5072	tags=48%, list=28%, signal=66%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Hallmark	ERpositive_vs_ERnegative	196	0	0.00091531937	0.00091531937	0.007	5072	tags=48%, list=28%, signal=66%	3.03842734699541	48	28	66	ERpositive_vs_ERnegative::Hallmark::HALLMARK_TNFA_SIGNALING_VIA_NFKB
HALLMARK_MITOTIC_SPINDLE	Hallmark	ERpositive_vs_ERnegative	-0.3657976	-1.800739	0	0.0013190737	0.011	195	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	4261	tags=38%, list=24%, signal=49%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Hallmark	ERpositive_vs_ERnegative	195	0	0.0013190737	0.0013190737	0.011	4261	tags=38%, list=24%, signal=49%	2.87973093863928	38	24	49	ERpositive_vs_ERnegative::Hallmark::HALLMARK_MITOTIC_SPINDLE
HALLMARK_SPERMATOGENESIS	Hallmark	ERpositive_vs_ERnegative	-0.35595205	-1.6258206	0.0021097045	0.006165583	0.057	112	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	3022	tags=32%, list=17%, signal=38%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Hallmark	ERpositive_vs_ERnegative	112	0.0021097045	0.006165583	0.006165583	0.057	3022	tags=32%, list=17%, signal=38%	2.21002585147507	32	17	38	ERpositive_vs_ERnegative::Hallmark::HALLMARK_SPERMATOGENESIS
HALLMARK_GLYCOLYSIS	Hallmark	ERpositive_vs_ERnegative	-0.32545632	-1.5979921	0	0.0076602707	0.076	195	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	5013	tags=42%, list=28%, signal=57%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Hallmark	ERpositive_vs_ERnegative	195	0	0.0076602707	0.0076602707	0.076	5013	tags=42%, list=28%, signal=57%	2.11575588292105	42	28	57	ERpositive_vs_ERnegative::Hallmark::HALLMARK_GLYCOLYSIS
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Hallmark	ERpositive_vs_ERnegative	-0.41095304	-1.5894601	0.004040404	0.0077883876	0.083	45	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	4573	tags=44%, list=25%, signal=59%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Hallmark	ERpositive_vs_ERnegative	45	0.004040404	0.0077883876	0.0077883876	0.083	4573	tags=44%, list=25%, signal=59%	2.10855244334198	44	25	59	ERpositive_vs_ERnegative::Hallmark::HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Hallmark	ERpositive_vs_ERnegative	-0.3418439	-1.5391444	0.003921569	0.012484682	0.135	105	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	4084	tags=36%, list=23%, signal=46%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Hallmark	ERpositive_vs_ERnegative	105	0.003921569	0.012484682	0.012484682	0.135	4084	tags=36%, list=23%, signal=46%	1.9036225151792	36	23	46	ERpositive_vs_ERnegative::Hallmark::HALLMARK_UNFOLDED_PROTEIN_RESPONSE
HALLMARK_BILE_ACID_METABOLISM	Hallmark	ERpositive_vs_ERnegative	0.3621853	1.6293366	0	0.0142468605	0.06	109	positive	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	pos	4134	tags=39%, list=23%, signal=51%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_pos_1779214203280.tsv	TRUE	TRUE	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Hallmark	ERpositive_vs_ERnegative	109	0	0.0142468605	0.0142468605	0.06	4134	tags=39%, list=23%, signal=51%	1.84628082812878	39	23	51	ERpositive_vs_ERnegative::Hallmark::HALLMARK_BILE_ACID_METABOLISM
HALLMARK_WNT_BETA_CATENIN_SIGNALING	Hallmark	ERpositive_vs_ERnegative	-0.40217653	-1.493398	0.034068137	0.019309994	0.213	42	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	1798	tags=24%, list=10%, signal=26%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Hallmark	ERpositive_vs_ERnegative	42	0.034068137	0.019309994	0.019309994	0.213	1798	tags=24%, list=10%, signal=26%	1.71421786116454	24	10	26	ERpositive_vs_ERnegative::Hallmark::HALLMARK_WNT_BETA_CATENIN_SIGNALING
HALLMARK_HYPOXIA	Hallmark	ERpositive_vs_ERnegative	-0.29605156	-1.4690028	0.006122449	0.022749355	0.256	188	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	3159	tags=28%, list=17%, signal=34%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Hallmark	ERpositive_vs_ERnegative	188	0.006122449	0.022749355	0.022749355	0.256	3159	tags=28%, list=17%, signal=34%	1.64303091214585	28	17	34	ERpositive_vs_ERnegative::Hallmark::HALLMARK_HYPOXIA
