feature_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	pvalue	padj	stat	layer	significant	direction	comparison	reference	contrast	method	protein_label	protein_base	gene	feature_type	mapping_class	mapping_source	include_in_gene_level_concordance	protein_key
TAZ-R-C	-0.0664352538021604	0.0476204249197248	-1.74697218192887	0.0820462711160486	0.119030859650226	-5.89776618769108	0.0820462711160486	0.119030859650226	-1.74697218192887	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	TAZ-R-C	TAZ	WWTR1	total	unique	curated_rppa_dict	TRUE	taz
Src-M-V	-0.0502613840954022	0.0340681705961539	-1.73705782803985	0.0828598518442605	0.119591538744293	-6.45740753458524	0.0828598518442605	0.119591538744293	-1.73705782803985	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	Src-M-V	Src	SRC	total	unique	curated_rppa_dict	TRUE	src
Bax-R-V	0.0510154297000134	0.0608764656754317	1.70334355685323	0.088991064647188	0.12778204154468	-6.51515648814354	0.088991064647188	0.12778204154468	1.70334355685323	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	Bax-R-V	Bax	BAX	total	unique	curated_rppa_dict	TRUE	bax
B-Raf-M-E	0.0964449060673355	0.0299809131215781	1.6907507493224	0.0913856862773614	0.130550980396231	-6.52131572380563	0.0913856862773614	0.130550980396231	1.6907507493224	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	B-Raf-M-E	B-Raf	BRAF	total	unique	curated_rppa_dict	TRUE	braf
Bap1-c-4-M-E	0.764607588083333	-0.1233963106875	2.11610637519556	0.0921562714343404	0.130983533003123	-4.01360875578918	0.0921562714343404	0.130983533003123	2.11610637519556	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	Bap1-c-4-M-E	Bap1-c-4	BAP1	total	unique	curated_rppa_dict	TRUE	bap1c4
YAP-R-E	-0.065193080294863	0.0229668466473684	-1.67160513649655	0.0962427467959023	0.134918579853208	-6.01448998146146	0.0962427467959023	0.134918579853208	-1.67160513649655	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	YAP-R-E	YAP	YAP1	total	unique	curated_rppa_dict	TRUE	yap
INPP4B-R-V	0.782761573416667	-0.0685427711875	2.07987137795401	0.0963324727689419	0.134918579853208	-4.04843983379631	0.0963324727689419	0.134918579853208	2.07987137795401	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	INPP4B-R-V	INPP4B	INPP4B	total	unique	curated_rppa_dict	TRUE	inpp4b
PKC-delta_pS664-R-V	-0.0318805142774262	-0.0641440065333595	-1.66516819205234	0.0963704141808628	0.134918579853208	-6.5791926813152	0.0963704141808628	0.134918579853208	-1.66516819205234	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	PKC-delta_pS664-R-V	PKC-delta_pS664		phospho	unmapped		FALSE	pkcdeltaps664
PRDX1-R-V	-0.760980948916667	0.1427645060625	-2.05339518547341	0.0995116483076199	0.138623191672306	-4.07397507115533	0.0995116483076199	0.138623191672306	-2.05339518547341	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	PRDX1-R-V	PRDX1	PRDX1	total	unique	curated_rppa_dict	TRUE	prdx1
HSP70-R-C	-0.148667668719014	0.144633494171507	-1.6420439921619	0.101073937390821	0.140102487472426	-6.61728194979228	0.101073937390821	0.140102487472426	-1.6420439921619	RPPA	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_robust_on_rppa_matrix	HSP70-R-C	HSP70		total	ambiguous_or_pan	curated_ambiguous_or_pan	FALSE	hsp70
